ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
21000165,中古マンション等,,21201,岐阜県,岐阜市,茜部菱野,岐阜,30分?60分,４ＬＤＫ,85,,,,平成10年,ＳＲＣ,,住宅,,,,近隣商業地域,80.0,200.0,2018年第1四半期,未改装,,7.2552725051033065
21018018,中古マンション等,,21213,岐阜県,各務原市,鵜沼三ツ池町,三柿野,11,３ＬＤＫ,70,,,,平成7年,ＲＣ,住宅,住宅,,,,第２種住居地域,60.0,200.0,2016年第3四半期,未改装,,6.832508912706237
21044981,中古マンション等,,21202,岐阜県,大垣市,旭町,大垣,23,３ＬＤＫ,80,,,,,ＲＣ,住宅,,,,,,,,2012年第3四半期,改装済,,7.342422680822207
21017885,中古マンション等,,21213,岐阜県,各務原市,鵜沼東町,鵜沼,9,４ＬＤＫ,95,,,,,,住宅,住宅,,,,近隣商業地域,80.0,200.0,2020年第3四半期,,,7.531478917042255
21042867,中古マンション等,,21213,岐阜県,各務原市,蘇原村雨町,六軒(岐阜),14,３ＬＤＫ,75,,,,昭和62年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2010年第3四半期,未改装,,6.845098040014257
21033830,中古マンション等,,21204,岐阜県,多治見市,田代町,多治見,8,４ＬＤＫ,85,,,,平成18年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2014年第1四半期,未改装,調停・競売等,7.204119982655925
21078471,中古マンション等,,21212,岐阜県,土岐市,泉東窯町,土岐市,,１Ｋ,20,,,,平成4年,,住宅,,,,,,,,2006年第1四半期,未改装,,6.477121254719663
21070488,中古マンション等,,21201,岐阜県,岐阜市,浪花町,岐阜,21,１ＤＫ,15,,,,平成2年,ＳＲＣ,住宅,,,,,商業地域,80.0,500.0,2008年第1四半期,未改装,,6.3222192947339195
21030141,中古マンション等,,21201,岐阜県,岐阜市,中竹屋町,岐阜,30分?60分,３ＬＤＫ,100,,,,平成14年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2014年第3四半期,未改装,,7.2552725051033065
21002910,中古マンション等,,21201,岐阜県,岐阜市,早田栄町,岐阜,30分?60分,４ＬＤＫ,80,,,,平成25年,ＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2018年第2四半期,未改装,,7.342422680822207
