ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
34085354,中古マンション等,,34207,広島県,福山市,東吉津町,福山,28,２ＬＤＫ,70,,,,平成3年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2007年第2四半期,未改装,,7.0
34082752,中古マンション等,,34202,広島県,呉市,広白石,広,8,４ＬＤＫ,85,,,,平成13年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2008年第4四半期,未改装,,7.204119982655925
34060915,中古マンション等,,34106,広島県,広島市安佐北区,上深川町,上深川,1H?1H30,４ＬＤＫ,75,,,,平成8年,ＳＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2013年第3四半期,未改装,,6.913813852383717
34014460,中古マンション等,,34204,広島県,三原市,城町,三原,11,３ＬＤＫ,70,,,,平成19年,ＲＣ,,住宅,,,,近隣商業地域,80.0,300.0,2020年第2四半期,改装済,,7.2552725051033065
34004362,中古マンション等,,34104,広島県,広島市西区,庚午北,西広島,16,,65,,,,平成8年,ＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2016年第1四半期,,,7.2552725051033065
34009609,中古マンション等,,34107,広島県,広島市安芸区,船越南,海田市,18,１ＬＤＫ,70,,,,,,,住宅,,,,準工業地域,60.0,200.0,2018年第3四半期,改装済,,7.041392685158225
34050148,中古マンション等,,34105,広島県,広島市安佐南区,西原,西原(広島),4,３ＬＤＫ,70,,,,平成11年,ＳＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2012年第2四半期,未改装,,7.3222192947339195
34054840,中古マンション等,,34102,広島県,広島市東区,中山南,広島,30分?60分,４ＬＤＫ,75,,,,平成4年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2013年第4四半期,未改装,,7.113943352306837
34034198,中古マンション等,,34105,広島県,広島市安佐南区,毘沙門台,毘沙門台,10,４ＬＤＫ,70,,,,平成21年,ＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2014年第3四半期,未改装,,7.342422680822207
34005222,中古マンション等,,34105,広島県,広島市安佐南区,大町西,大町(広島),8,３ＬＤＫ,65,,,,平成31年,,住宅,住宅,,,,第１種住居地域,60.0,200.0,2020年第4四半期,未改装,,7.477121254719663
34000529,中古マンション等,,34101,広島県,広島市中区,中町,広島,28,２ＬＤＫ,70,,,,平成27年,ＲＣ,,住宅,,,,商業地域,80.0,800.0,2018年第2四半期,未改装,,7.690196080028514
34063991,中古マンション等,,34213,広島県,廿日市市,宮内,宮内串戸,10,３ＬＤＫ,70,,,,平成5年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2015年第3四半期,未改装,調停・競売等,7.079181246047625
34034292,中古マンション等,,34102,広島県,広島市東区,若草町,広島,3,２ＬＤＫ,65,,,,平成22年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2010年第3四半期,未改装,,7.491361693834273
34038452,中古マンション等,,34104,広島県,広島市西区,竜王町,横川(広島),14,４ＬＤＫ,80,,,,平成13年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2011年第2四半期,未改装,,7.230448921378274
34081925,中古マンション等,,34108,広島県,広島市佐伯区,隅の浜,五日市,30分?60分,５ＤＫ,80,,,,昭和62年,,住宅,,,,,,,,2006年第2四半期,未改装,,6.8750612633917
34057147,中古マンション等,,34212,広島県,東広島市,西条朝日町,西条(広島),8,３ＬＤＫ,80,,,,平成11年,ＲＣ,住宅,,,,,近隣商業地域,80.0,300.0,2011年第3四半期,未改装,,7.176091259055681
34071264,中古マンション等,,34108,広島県,広島市佐伯区,海老園,五日市,23,３ＬＤＫ,70,,,,昭和50年,ＳＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2009年第4四半期,改装済,,6.812913356642856
34015934,中古マンション等,,34205,広島県,尾道市,新浜,尾道,11,３ＬＤＫ,70,,,,平成26年,ＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2019年第4四半期,未改装,,7.431363764158987
34044709,中古マンション等,,34101,広島県,広島市中区,舟入南,広島,1H?1H30,３ＬＤＫ,65,,,,平成13年,ＲＣ,住宅,,,,,近隣商業地域,80.0,300.0,2012年第4四半期,未改装,,7.113943352306837
34014480,中古マンション等,,34204,広島県,三原市,城町,三原,10,３ＬＤＫ,85,,,,平成18年,ＲＣ,住宅,住宅,,,,近隣商業地域,80.0,300.0,2016年第1四半期,未改装,,7.301029995663981
34028783,中古マンション等,,34213,広島県,廿日市市,宮内,宮内串戸,10,３ＬＤＫ,60,,,,平成5年,ＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2020年第4四半期,未改装,,7.113943352306837
34033536,中古マンション等,,34101,広島県,広島市中区,国泰寺町,広島,30分?60分,３ＬＤＫ,55,,,,昭和54年,ＳＲＣ,住宅,,,,,商業地域,80.0,700.0,2010年第1四半期,改装済,,7.0
