ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
25048392,中古マンション等,,25201,滋賀県,大津市,螢谷,唐橋前,4,２ＬＤＫ,45,,,,平成6年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2008年第1四半期,改装済,,6.924279286061882
25033295,中古マンション等,,25201,滋賀県,大津市,春日町,大津,1,２ＬＤＫ,75,,,,平成25年,ＲＣ,住宅,,,,,,,,2012年第4四半期,,,7.531478917042255
25003190,中古マンション等,,25201,滋賀県,大津市,竜が丘,膳所,6,３ＬＤＫ,70,,,,平成14年,ＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2019年第4四半期,未改装,,7.414973347970818
25007110,中古マンション等,,25203,滋賀県,長浜市,大宮町,長浜,7,３ＬＤＫ,70,,,,平成20年,ＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2020年第3四半期,未改装,,7.204119982655925
25034075,中古マンション等,,25206,滋賀県,草津市,野村,草津(滋賀),19,３ＬＤＫ,70,,,,平成5年,ＲＣ,住宅,住宅,,,,,,,2015年第4四半期,,,7.113943352306837
25008076,中古マンション等,,25203,滋賀県,長浜市,平方町,長浜,15,３ＬＤＫ,75,,,,平成7年,ＳＲＣ,,住宅,,,,準工業地域,60.0,200.0,2019年第1四半期,未改装,,7.230448921378274
25048483,中古マンション等,,25201,滋賀県,大津市,松山町,大津京,11,３ＬＤＫ,65,,,,平成7年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2007年第3四半期,未改装,,7.2552725051033065
25006140,中古マンション等,,25202,滋賀県,彦根市,外町,彦根,5,３ＬＤＫ,65,,,,平成2年,ＲＣ,住宅,住宅,,,,準工業地域,60.0,200.0,2017年第1四半期,改装済,,6.832508912706237
25033289,中古マンション等,,25201,滋賀県,大津市,鏡が浜,大津京,21,２ＬＤＫ,75,,,,平成20年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2012年第3四半期,未改装,,7.3222192947339195
25044835,中古マンション等,,25206,滋賀県,草津市,西大路町,草津(滋賀),4,３ＬＤＫ,65,,,,平成8年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2009年第3四半期,未改装,,7.204119982655925
25008055,中古マンション等,,25203,滋賀県,長浜市,平方町,長浜,13,３ＬＤＫ,70,,,,平成7年,,,住宅,,,,準工業地域,60.0,200.0,2020年第3四半期,未改装,,7.0
25042132,中古マンション等,,25201,滋賀県,大津市,馬場,膳所,5,３ＬＤＫ,75,,,,昭和56年,ＲＣ,住宅,,,,,,,,2009年第3四半期,未改装,,7.113943352306837
25000535,中古マンション等,,25201,滋賀県,大津市,今堅田,堅田,15,,65,,,,,,,住宅,,,,,,,2018年第1四半期,,,7.041392685158225
25010424,中古マンション等,,25206,滋賀県,草津市,草津,草津(滋賀),10,,75,,,,平成4年,ＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2016年第1四半期,,,7.204119982655925
25033802,中古マンション等,,25206,滋賀県,草津市,渋川,草津(滋賀),15,,70,,,,,ＲＣ,住宅,住宅,,,,,,,2015年第2四半期,,,6.977723605288848
25022382,中古マンション等,,25201,滋賀県,大津市,におの浜,膳所,9,２ＬＤＫ＋Ｓ,65,,,,平成7年,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2010年第2四半期,未改装,,7.278753600952829
25050217,中古マンション等,,25206,滋賀県,草津市,西大路町,草津(滋賀),5,３ＬＤＫ,65,,,,平成8年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2008年第3四半期,未改装,,7.2552725051033065
25022932,中古マンション等,,25201,滋賀県,大津市,荒川,志賀,13,１ＬＤＫ,45,,,,平成6年,ＳＲＣ,住宅,,,,,市街化調整区域,60.0,200.0,2011年第1四半期,未改装,,6.812913356642856
25034461,中古マンション等,,25201,滋賀県,大津市,におの浜,膳所,13,３ＬＤＫ,60,,,,平成14年,ＲＣ,住宅,,,,,,,,2012年第4四半期,未改装,,7.230448921378274
25041254,中古マンション等,,25203,滋賀県,長浜市,平方町,長浜,15,３ＬＤＫ,70,,,,,ＳＲＣ,住宅,,,,,,,,2013年第2四半期,改装済,,6.929418925714293
25037842,中古マンション等,,25201,滋賀県,大津市,春日町,大津,1,３ＬＤＫ,70,,,,平成25年,ＲＣ,住宅,,,,,,,,2013年第4四半期,,,7.531478917042255
25023686,中古マンション等,,25201,滋賀県,大津市,鏡が浜,大津京,,２ＬＤＫ,60,,,,平成20年,ＲＣ,住宅,,,,,,,,2011年第1四半期,未改装,,7.3979400086720375
25025277,中古マンション等,,25201,滋賀県,大津市,本堅田,堅田,5,３ＬＤＫ,75,,,,平成7年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2011年第3四半期,未改装,,7.041392685158225
25038950,中古マンション等,,25201,滋賀県,大津市,鳥居川町,石山,8,４ＬＤＫ,85,,,,平成12年,ＳＲＣ,住宅,,,,,商業地域,80.0,500.0,2013年第1四半期,未改装,,7.342422680822207
25027647,中古マンション等,,25201,滋賀県,大津市,唐橋町,石山,9,３ＬＤＫ,70,,,,平成21年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2015年第4四半期,未改装,,7.342422680822207
25022722,中古マンション等,,25201,滋賀県,大津市,松山町,大津京,10,３ＬＤＫ,70,,,,平成7年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2010年第1四半期,未改装,,7.146128035678238
25000232,中古マンション等,,25201,滋賀県,大津市,荒川,志賀,13,１ＬＤＫ,40,,,,平成6年,ＳＲＣ,住宅,住宅,,,,市街化調整区域,60.0,200.0,2016年第1四半期,未改装,,6.505149978319906
25043363,中古マンション等,,25202,滋賀県,彦根市,古沢町,彦根,5,３ＬＤＫ,90,,,,平成3年,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2009年第2四半期,改装済,,7.204119982655925
25004413,中古マンション等,,25201,滋賀県,大津市,本堅田,堅田,1,２ＬＤＫ,65,,,,平成20年,ＲＣ,住宅,住宅,,,,商業地域,80.0,600.0,2016年第3四半期,改装済,,7.301029995663981
25004652,中古マンション等,,25201,滋賀県,大津市,真野,堅田,11,４ＬＤＫ,80,,,,平成2年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2017年第4四半期,,,7.113943352306837
